monoamine	receptor	neuron	wormbase_id	excluded	excluded_reason	reference
serotonin	ser-1	RIAL	Expr7825	0		7
serotonin	ser-1	RIAR	Expr7825	0		7
serotonin	ser-1	RICL	Expr7825	0		7
serotonin	ser-1	RICR	Expr7825	0		7
serotonin	ser-1	PVT	Expr7825	0		7
serotonin	ser-1	DVC	Expr7825	0		7
serotonin	ser-1	URYDL	Expr7825	0		7
serotonin	ser-1	URYDR	Expr7825	0		7
serotonin	ser-1	URYVL	Expr7825	0		7
serotonin	ser-1	URYVR	Expr7825	0		7
serotonin	ser-1	PVQL	Expr8282	0		8
serotonin	ser-1	PVQR	Expr8282	0		8
serotonin	ser-1	RMDDL	Expr3962	0		9
serotonin	ser-1	RMDDR	Expr3962	0		9
serotonin	ser-1	RMDL	Expr3962	0		9
serotonin	ser-1	RMDR	Expr3962	0		9
serotonin	ser-1	RMDVL	Expr3962	0		9
serotonin	ser-1	RMDVR	Expr3962	0		9
serotonin	ser-1	RMFL	Expr3962	0		9
serotonin	ser-1	RMFR	Expr3962	0		9
serotonin	ser-1	RMHL	Expr3962	0		9
serotonin	ser-1	RMHR	Expr3962	0		9
serotonin	ser-4	RIBL	Expr2710	0		10
serotonin	ser-4	RIBR	Expr2710	0		10
serotonin	ser-4	PVT	Expr2710	0		10
serotonin	ser-4	DVC	Expr2710	0		10
serotonin	ser-4	DVA	Expr2710	0		10
serotonin	ser-4	RIS	Expr2710	0		10
serotonin	ser-4	AIBL	Expr10554	0		11
serotonin	ser-4	AIBR	Expr10554	0		11
serotonin	ser-4	NSML	Expr10554	0		11
serotonin	ser-4	NSMR	Expr10554	0		11
serotonin	ser-4	M1		0		12
serotonin	ser-4	RIML		0		12
serotonin	ser-4	RIMR		0		12
serotonin	ser-5	ASHL	Expr12174	0		7
serotonin	ser-5	ASHR	Expr12174	0		7
serotonin	ser-5	AWBL	Expr12174	0		7
serotonin	ser-5	AWBR	Expr12174	0		7
serotonin	ser-5	AVJL	Expr12172	0		14
serotonin	ser-5	AVJR	Expr12172	0		14
serotonin	ser-7	MCL	Expr3759	0		15
serotonin	ser-7	MCR	Expr3759	0		15
serotonin	ser-7	M2L	Expr3759	0		15
serotonin	ser-7	M2R	Expr3759	0		15
serotonin	ser-7	M3L	Expr3759	0		15
serotonin	ser-7	M3R	Expr3759	0		15
serotonin	ser-7	M4	Expr3759	0		15
serotonin	ser-7	M5	Expr3759	0		15
serotonin	ser-7	I2L	Expr3759	0		15
serotonin	ser-7	I2R	Expr3759	0		15
serotonin	ser-7	I3	Expr3759	0		15
serotonin	ser-7	I4	Expr3759	0		15
serotonin	ser-7	I6	Expr3759	0		15
serotonin	mod-1	RIML	Expr10023	0		16
serotonin	mod-1	RIMR	Expr10023	0		16
serotonin	mod-1	RID	Expr10023	0		16
serotonin	mod-1	RICL	Expr10023	0		16
serotonin	mod-1	RICR	Expr10023	0		16
serotonin	mod-1	AIZL	Expr10023	0		16
