neuropeptide	neuron	wormbase_id	reference
flp-1	AVKL	Expr3003	36
flp-1	AVKR	Expr3003	36
flp-1	AVEL	Expr3003	36
flp-1	AVER	Expr3003	36
flp-1	AVAL	Expr3003	36
flp-1	AVAR	Expr3003	36
flp-1	RIGL	Expr3003	36
flp-1	RIGR	Expr3003	36
flp-1	AIYL	Expr3003	36
flp-1	AIYR	Expr3003	36
flp-1	AIAL	Expr3003	36
flp-1	AIAR	Expr3003	36
flp-1	M5	Expr3003	36
flp-1	RMGL	Expr3003	36
flp-1	RMGR	Expr3003	36
flp-2	ASIL	Expr3004	36
flp-2	ASIR	Expr3004	36
flp-2	RID	Expr3004	36
flp-2	AIAL	Expr3004	36
flp-2	AIAR	Expr3004	36
flp-2	PVWL	Expr3004	36
flp-2	PVWR	Expr3004	36
flp-2	MCL	Expr3004	36
flp-2	MCR	Expr3004	36
flp-2	M4	Expr3004	36
flp-2	I5	Expr3004	36
flp-4	AWCL	Expr3006	36
flp-4	AWCR	Expr3006	36
flp-4	AVM	Expr3006	36
flp-4	ASEL	Expr3006	36
flp-4	ADLL	Expr3006	36
flp-4	ADLR	Expr3006	36
flp-4	PVDL	Expr3006	36
flp-4	PVDR	Expr3006	36
flp-4	PHBL	Expr3006	36
flp-4	PHBR	Expr3006	36
flp-4	PHAL	Expr3006	36
flp-4	PHAR	Expr3006	36
flp-4	NSML	Expr3006	36
flp-4	NSMR	Expr3006	36
flp-4	I6	Expr3006	36
flp-4	I5	Expr3006	36
flp-4	FLPL	Expr3006	36
flp-4	FLPR	Expr3006	36
flp-5	ASEL	Expr3007	36
flp-5	ASER	Expr3007	36
flp-5	PVT	Expr3007	36
flp-5	M4	Expr3007	36
flp-5	I4	Expr3007	36
flp-5	I2L	Expr3007	36
flp-5	I2R	Expr3007	36
flp-5	RMGL	Expr3007	36
flp-5	RMGR	Expr3007	36
flp-7	AVG	Expr3009	36
flp-7	RICL	Expr3009	36
flp-7	RICR	Expr3009	36
flp-7	ALA	Expr3009	36
flp-7	PVWL	Expr3009	36
flp-7	PVWR	Expr3009	36
flp-7	PHBL	Expr3009	36
flp-7	PHBR	Expr3009	36
flp-7	PHAL	Expr3009	36
flp-7	PHAR	Expr3009	36
flp-7	PDA	Expr3009	36
flp-7	SMDVL	Expr3009	36
flp-7	SMDVR	Expr3009	36
flp-7	SAADL	Expr3009	36
flp-7	SAADR	Expr3009	36
flp-7	SAAVL	Expr3009	36
flp-7	SAAVR	Expr3009	36
flp-7	RMDDL	Expr3009	36
flp-7	RMDDR	Expr3009	36
flp-7	RMDL	Expr3009	36
flp-7	RMDR	Expr3009	36
flp-7	RMDVL	Expr3009	36
flp-7	RMDVR	Expr3009	36
flp-10	AIML	Expr3011	36
flp-10	AIMR	Expr3011	36
flp-10	ASIL	Expr3011	36
flp-10	ASIR	Expr3011	36
flp-10	AUAL	Expr3011	36
flp-10	AUAR	Expr3011	36
flp-10	BAGL	Expr3011	36
flp-10	BAGR	Expr3011	36
flp-10	BDUL	Expr3011	36
flp-10	BDUR	Expr3011	36
flp-10	DVB	Expr3011	36
flp-10	PQR	Expr3011	36
flp-10	PVR	Expr3011	36
flp-10	URXL	Expr3011	36
flp-10	URXR	Expr3011	36
flp-11	AUAL	Expr3012	36
flp-11	AUAR	Expr3012	36
flp-11	BAGL	Expr3012	36
flp-11	BAGR	Expr3012	36
flp-11	DA1	Expr3012	36
flp-11	DA2	Expr3012	36
flp-11	DA3	Expr3012	36
flp-11	DA4	Expr3012	36
flp-11	DA5	Expr3012	36
flp-11	DA6	Expr3012	36
flp-11	DA7	Expr3012	36
flp-11	DA8	Expr3012	36
flp-11	DA9	Expr3012	36
flp-11	DD1	Expr3012	36
flp-11	DD2	Expr3012	36
flp-11	DD3	Expr3012	36
flp-11	DD4	Expr3012	36
flp-11	DD5	Expr3012	36
flp-11	DD6	Expr3012	36
flp-11	DVB	Expr3012	36
flp-11	LUAL	Expr3012	36
flp-11	LUAR	Expr3012	36
flp-11	PHCL	Expr3012	36
flp-11	PHCR	Expr3012	36
flp-11	PVCL	Expr3012	36
flp-11	PVCR	Expr3012	36
flp-11	SABD	Expr3012	36
flp-11	SABVL	Expr3012	36
flp-11	SABVR	Expr3012	36
flp-11	URXL	Expr3012	36
flp-11	URXR	Expr3012	36
flp-11	VD1	Expr3012	36
flp-11	VD10	Expr3012	36
flp-11	VD11	Expr3012	36
flp-11	VD12	Expr3012	36
flp-11	VD13	Expr3012	36
flp-11	VD2	Expr3012	36
flp-11	VD3	Expr3012	36
flp-11	VD4	Expr3012	36
flp-11	VD5	Expr3012	36
flp-11	VD6	Expr3012	36
flp-11	VD7	Expr3012	36
flp-11	VD8	Expr3012	36
flp-11	VD9	Expr3012	36
flp-13	ASEL	Expr3014	36
flp-13	ASER	Expr3014	36
flp-13	ASGL	Expr3014	36
flp-13	ASGR	Expr3014	36
flp-13	ASKL	Expr3014	36
flp-13	ASKR	Expr3014	36
flp-13	BAGL	Expr3014	36
flp-13	BAGR	Expr3014	36
flp-13	DD1	Expr3014	36
flp-13	DD2	Expr3014	36
flp-13	DD3	Expr3014	36
flp-13	DD4	Expr3014	36
flp-13	DD5	Expr3014	36
flp-13	DD6	Expr3014	36
flp-13	I5	Expr3014	36
flp-13	M3L	Expr3014	36
flp-13	M3R	Expr3014	36
flp-13	M5	Expr3014	36
flp-13	ALA	Expr12005	37
flp-15	PHAL	Expr3015	36
flp-15	PHAR	Expr3015	36
flp-15	I2L	Expr3015	36
flp-15	I2R	Expr3015	36
flp-17	BAGL	Expr3016	36
flp-17	BAGR	Expr3016	36
flp-17	M5	Expr3016	36
flp-18	AVAL	Expr3017	36
flp-18	AVAR	Expr3017	36
flp-18	AIYL	Expr3017	36
flp-18	AIYR	Expr3017	36
flp-18	RIGL	Expr3017	36
flp-18	RIGR	Expr3017	36
flp-18	RIML	Expr3017	36
flp-18	RIMR	Expr3017	36
flp-18	M2L	Expr3017	36
flp-18	M2R	Expr3017	36
flp-18	M3L	Expr3017	36
flp-18	M3R	Expr3017	36
flp-21	ASIL	Expr3020	36
flp-21	ASIR	Expr3020	36
flp-21	ASHL	Expr3020	36
flp-21	ASHR	Expr3020	36
flp-21	ASEL	Expr3020	36
flp-21	ASER	Expr3020	36
flp-21	ADLL	Expr3020	36
flp-21	ADLR	Expr3020	36
flp-21	MCL	Expr3020	36
flp-21	MCR	Expr3020	36
flp-21	M4	Expr3020	36
flp-21	FLPL	Expr3020	36
flp-21	FLPR	Expr3020	36
flp-21	URADL	Expr3020	36
flp-21	URADR	Expr3020	36
flp-21	URAVL	Expr3020	36
flp-21	URAVR	Expr3020	36
flp-21	RMGL	Expr12181	38
flp-21	RMGR	Expr12181	38
flp-21	ASJL	Expr12181	38
flp-21	ASJR	Expr12181	38
flp-21	URXL	Expr12181	38
flp-21	URXR	Expr12181	38
flp-21	M2L	Expr12181	38
flp-21	M2R	Expr12181	38
flp-21	ASKL	Expr12181	38
flp-21	ASKR	Expr12181	38
flp-21	ASGL	Expr12181	38
flp-21	ASGR	Expr12181	38
flp-21	ADFL	Expr12181	38
flp-21	ADFR	Expr12181	38
flp-22	AIML	Expr3021	36
