receptor	neuron	wormbase_id	reference
npr-1	AUAL	Expr2257	45
npr-1	AUAR	Expr2257	45
npr-1	ASHL	Expr2257	45
npr-1	ASHR	Expr2257	45
npr-1	ASGL	Expr2257	45
npr-1	ASGR	Expr2257	45
npr-1	ASEL	Expr2257	45
npr-1	ASER	Expr2257	45
npr-1	AQR	Expr2257	45
npr-1	RIGL	Expr2257	45
npr-1	RIGR	Expr2257	45
npr-1	PQR	Expr2257	45
npr-1	PHBL	Expr2257	45
npr-1	PHBR	Expr2257	45
npr-1	PHAL	Expr2257	45
npr-1	PHAR	Expr2257	45
npr-1	OLQDL	Expr2257	45
npr-1	OLQDR	Expr2257	45
npr-1	OLQVL	Expr2257	45
npr-1	OLQVR	Expr2257	45
npr-1	IL2L	Expr2257	45
npr-1	IL2R	Expr2257	45
npr-1	URXL	Expr2257	45
npr-1	URXR	Expr2257	45
npr-1	SMBDL	Expr2257	45
npr-1	SMBDR	Expr2257	45
npr-1	RMGL	Expr2257	45
npr-1	RMGR	Expr2257	45
npr-1	RIVL	Expr2257	45
npr-1	RIVR	Expr2257	45
npr-1	DD1	Expr2257	45
npr-1	DD2	Expr2257	45
npr-1	DD3	Expr2257	45
npr-1	DD4	Expr2257	45
npr-1	DD5	Expr2257	45
npr-1	DD6	Expr2257	45
npr-1	VD1	Expr2257	45
npr-1	VD10	Expr2257	45
npr-1	VD11	Expr2257	45
npr-1	VD12	Expr2257	45
npr-1	VD13	Expr2257	45
npr-1	VD2	Expr2257	45
npr-1	VD3	Expr2257	45
npr-1	VD4	Expr2257	45
npr-1	VD5	Expr2257	45
npr-1	VD6	Expr2257	45
npr-1	VD7	Expr2257	45
npr-1	VD8	Expr2257	45
npr-1	VD9	Expr2257	45
npr-1	M3L	Expr2257	45
npr-1	M3R	Expr2257	45
npr-1	SAADL	Expr2257	45
npr-1	SAADR	Expr2257	45
npr-1	SDQL	Expr2257	45
npr-1	SDQR	Expr2257	45
npr-2	ADFL	Expr12242	46
npr-2	ADFR	Expr12242	46
npr-2	AIZL	Expr12242	46
npr-2	AIZR	Expr12242	46
npr-2	ASHL	Expr12242	46
npr-2	ASHR	Expr12242	46
npr-2	FLPL	Expr12242	46
npr-2	FLPR	Expr12242	46
npr-2	OLQDL	Expr12242	46
npr-2	OLQDR	Expr12242	46
npr-2	OLQVL	Expr12242	46
npr-2	OLQVR	Expr12242	46
npr-2	PVDL	Expr12242	46
npr-2	PVDR	Expr12242	46
npr-2	PVQL	Expr12242	46
npr-2	PVQR	Expr12242	46
npr-2	SABD	Expr12242	46
npr-2	SABVL	Expr12242	46
npr-2	SABVR	Expr12242	46
npr-3	AS1	Expr2766	47
npr-3	AS10	Expr2766	47
