source,target,source_type,target_type,mu_forward,mu_backward,abs_diff,rel_diff,forward_dominant
SIB,RIB,motor,interneuron,0.12223402448759972,0.028038333710213963,0.09419569077738577,0.6268331171771876,True
RIB,RIM,interneuron,interneuron,0.08717718049082625,0.033589791387569776,0.05358738910325647,0.4437255337729484,True
RIB,BAG,interneuron,sensory,0.046304254998902845,0.0020652495529968804,0.04423900544590596,0.9146053027476778,True
RIB,SIB,interneuron,motor,0.05085073493362886,0.011812190868158084,0.039038544065470776,0.6229926787436768,True
AVB,RIB,interneuron,interneuron,0.050322474511734654,0.013848996721198947,0.03647347779053571,0.5683752769405035,True
BAG,RIB,sensory,interneuron,0.038102314793790004,0.0019610045513058765,0.036141310242484126,0.9021047367783238,True
AVA,AVB,interneuron,interneuron,0.0629507876691207,0.03242294522198612,0.03052784244713458,0.3200864796807436,True
SIB,AVA,motor,interneuron,0.05139333018172697,0.021642450854525958,0.02975087932720101,0.4073466301633557,True
RID,RIB,interneuron,interneuron,0.040424869692488215,0.012947994478482975,0.027476875214005242,0.5148098306005578,True
AVA,SIB,interneuron,motor,0.04872124451218179,0.023591094342690293,0.025130150169491494,0.34752229747643004,True
RIB,AVE,interneuron,interneuron,0.058774405283206585,0.03549231105362199,0.023282094229584598,0.24698106722733626,True
AVB,SIB,interneuron,motor,0.027317959188314016,0.006078023954598063,0.021239935233715954,0.6360026916777151,True
RIB,RID,interneuron,interneuron,0.028371405171372387,0.008842487623658864,0.019528917547713524,0.5247749167978338,True
AVA,RIB,interneuron,interneuron,0.04390771650074571,0.02626117326375151,0.0176465432369942,0.2514867097238014,True
AIB,RIB,interneuron,interneuron,0.03213357371363678,0.015634257689135896,0.016499316024500884,0.34540642741011146,True
RIB,ADL,interneuron,unknown,0.027300339404789875,0.011889617300663796,0.01541072210412608,0.3932314133600046,True
RIM,AVA,interneuron,interneuron,0.060949090745047785,0.045618655397273535,0.01533043534777425,0.14385624063884037,True
RIB,AVJ,interneuron,interneuron,0.023282728216411867,0.008863373784208827,0.01441935443220304,0.4485568541737638,True
RIB,AVH,interneuron,interneuron,0.02172164808542153,0.007309890296802825,0.014411757788618706,0.4964172945034533,True
LUA,RIB,interneuron,interneuron,0.01707121312142585,0.0034691230213883656,0.013602090100037484,0.6622136044533354,True
RIB,AVD,interneuron,interneuron,0.015501571646233675,0.0023764898427104052,0.013125081803523269,0.7341445680912024,True
PVT,RIB,interneuron,interneuron,0.016476026456160687,0.004186546903024399,0.012289479553136287,0.5947700356594872,True
BAG,AWA,sensory,sensory,0.013823983833884505,0.0015432421104295817,0.012280741723454922,0.7991514986531241,True
ASG,RIB,sensory,interneuron,0.017137709059453037,0.005112109261115491,0.012025599798337547,0.5404808062262949,True
BAG,AVA,sensory,interneuron,0.012587275709000083,0.0007746097968822629,0.01181266591211782,0.8840568060931081,True
RID,RIM,interneuron,interneuron,0.019194397236283064,0.007558190582333311,0.011636206653949753,0.43495629990444556,True
RIR,RIB,unknown,interneuron,0.018152545447436847,0.006925754586183909,0.011226790861252937,0.44766953108603835,True
SIB,RME,motor,motor,0.01721674704413973,0.006035100475348476,0.011181646568791255,0.48089281986432403,True
AVH,RIB,interneuron,interneuron,0.01782544354503083,0.006691074618626335,0.011134368926404493,0.45415783785701236,True
ADL,RIB,unknown,interneuron,0.02048149521799462,0.009899845164138993,0.010581650053855628,0.3482943769409513,True
RIB,RME,interneuron,motor,0.020824934782264326,0.010532884739034451,0.010292050043229875,0.3282131910803944,True
RIM,AVB,interneuron,interneuron,0.017354756693992352,0.007088729966339554,0.010266026727652798,0.41999027504999864,True
AVA,BAG,interneuron,sensory,0.010293829739587063,0.0001604880548403212,0.01013334168474674,0.969297259474792,True
AWA,SIB,sensory,motor,0.01126530162397162,0.0011949997608026782,0.010070301863168941,0.8081908672494172,True
RME,SIB,motor,motor,0.01640109462525052,0.0064471645586531645,0.009953930066597356,0.435653760004806,True
AIA,RIB,interneuron,interneuron,0.014931701254525965,0.005034589454802468,0.009897111799723496,0.49569105720424916,True
SIB,AWA,motor,sensory,0.010660361429274083,0.0011676035515815707,0.009492757877692513,0.8025689806150318,True
ASE,RIB,sensory,interneuron,0.014772576080087472,0.005296407894334363,0.00947616818575311,0.4721797650849004,True
RIB,AIA,interneuron,interneuron,0.013631679047386764,0.004452844836344925,0.009178834211041839,0.50755188354965,True
AVA,RIM,interneuron,interneuron,0.03596272919574345,0.026895061099174538,0.00906766809656891,0.14425686998539525,True
RIM,SIB,interneuron,motor,0.015140968789245745,0.006264895487602439,0.008876073301643306,0.4146561496130634,True
ASH,AWC,sensory,sensory,0.0024188235017819333,0.01125515007860527,0.008836326576823338,0.6462149762287038,False
OLQ,RIB,sensory,interneuron,0.01680431403493097,0.008215521941674419,0.00858879209325655,0.34327931114174787,True
AVJ,AVA,interneuron,interneuron,0.017188020573011963,0.00864581176660697,0.008542208806404992,0.3306597589177131,True
SIB,RIM,motor,interneuron,0.013167787937991766,0.004663682445521266,0.0085041054924705,0.47691554660808205,True
AVA,ASK,interneuron,sensory,0.008694641363122035,0.00045894044640604784,0.008235700916715988,0.8997243918408967,True
AVJ,RIB,interneuron,interneuron,0.013506153629539957,0.005364861182749621,0.008141292446790335,0.43141783760068947,True
AWA,AVB,sensory,interneuron,0.009817852689527916,0.001906577310641245,0.007911275378886671,0.6747684374673808,True
AWC,AWA,sensory,sensory,0.010417547811600907,0.0027217758753537748,0.0076957719362471325,0.58570532707991,True
RIB,OLL,interneuron,unknown,0.008622836226388443,0.0010534142233975267,0.007569422002990916,0.7822680865945896,True
AWC,ASH,sensory,sensory,0.005627487874639932,0.013094489782427877,0.007467001907787945,0.39883617023148343,False
RIH,RID,interneuron,interneuron,0.01687332318188659,0.009529200693366874,0.0073441224885197175,0.27815986439035945,True
RIB,RIC,interneuron,interneuron,0.010224313155061138,0.0029949890665979012,0.007229324088463237,0.5468763715781294,True
PVT,RID,interneuron,interneuron,0.0084527752080839,0.001754113950845203,0.006698661257238697,0.6562882272263935,True
AWA,AVA,sensory,interneuron,0.010001625068317784,0.003364824553494927,0.006636800514822856,0.49652680053045506,True
RIB,OLQ,interneuron,sensory,0.012891551842173592,0.006270694438521851,0.006620857403651741,0.3455157225366734,True
AVJ,SIB,interneuron,motor,0.00855250855749553,0.0019528150012246793,0.00659969355627085,0.6282237245296681,True
SMB,RIB,motor,interneuron,0.009475223901811106,0.003028898936882445,0.006446324964928661,0.5155359553432368,True
RIB,AUA,interneuron,unknown,0.008499025609988376,0.0021702403759766564,0.00632878523401172,0.5931790605857107,True
SIB,RIH,motor,interneuron,0.011413227619931224,0.005163390360972835,0.006249837258958389,0.3770272819495117,True
RIH,SIB,interneuron,motor,0.011577726220382736,0.005447432190163965,0.006130294030218772,0.36007265520736226,True
RIB,SMD,interneuron,motor,0.002346425000107852,0.008471921452214412,0.00612549645210656,0.5662137390848939,False
AVA,RME,interneuron,motor,0.02216684715866646,0.016170838372415973,0.0059960087862504854,0.15639986315160342,True
AVH,SIB,interneuron,motor,0.006849742802047814,0.0009238135800559929,0.0059259292219918215,0.7623189251450644,True
SIB,RID,motor,interneuron,0.007580956319734162,0.0018835704264738061,0.0056973858932603556,0.6019726063266496,True
